480 0 13
481 0 9
482 6.29556 6
483 0 10
484 0 17
485 0 13
486 0 12
487 0 8
488 0 10
489 0 15
490 0 16
491 6.46427 10
492 4.73268 11
493 0 6
494 5.45211 15
495 0 11
496 0 10
497 0 5
498 0 18
499 0 12
500 0 15
501 0 9
502 0 10
503 7.28323 10
504 0 12
505 6.42033 9
506 0 12
507 0 7
508 6.2703 13
509 0 9
510 0 16
511 0 9
512 6.81369 5
513 0 16
514 0 13
515 6.94539 11
516 0 16
517 6.01957 11
518 0 16
519 0 14
520 0 12
521 0 8
522 0 14
523 0 17
524 0 5
525 0 14
526 0 7
527 0 9
528 0 15
529 6.87446 14
530 5.62646 13
531 0 8
532 0 9
533 0 15
534 0 11
535 0 11
536 0 14
537 0 9
538 0 10
539 0 11
540 0 6
541 0 14
542 0 11
543 0 11
544 6.40395 11
545 0 16
546 6.91778 13
547 0 9
548 0 21
549 0 13
550 0 7
551 0 10
552 0 12
553 0 11
554 0 19
555 0 15
556 0 11
557 0 13
558 0 10
559 0 14
560 6.49795 19
561 0 6
562 0 10
563 5.56361 13
564 0 15
565 7.24635 12
566 0 11
567 0 9
568 0 14
569 0 10
570 0 11
571 6.41385 11
572 0 11
573 0 9
574 0 7
575 6.17013 11
576 0 13
577 0 5
578 0 8
579 6.93402 12
580 0 12
581 6.7135 16
582 6.15417 10
583 0 12
584 5.28799 8
585 0 10
586 4.97527 9
587 6.65279 13
588 0 5
589 7.20525 6
590 0 9
591 0 12
592 0 7
593 0 18
594 6.99911 7
595 6.78632 12
596 5.70179 11
597 0 9
598 0 9
599 5.6228 11
600 0 11
601 0 18
602 0 15
603 0 11
604 0 8
605 0 16
606 0 11
607 6.23497 13
608 0 8
609 0 10
610 7.17372 13
611 0 11
612 0 8
613 0 12
614 0 12
615 0 9
616 0 11
617 0 10
618 7.08857 11
619 0 13
620 5.76813 15
621 0 16
622 0 12
623 0 8
624 6.58952 14
625 0 13
626 0 11
627 6.69759 14
628 0 11
629 0 15
630 0 16
631 0 15
632 0 10
633 0 15
634 0 13
635 7.27907 7
636 6.11378 14
637 0 13
638 4.49603 18
639 0 12
640 0 12
641 0 14
642 6.77593 10
643 6.33835 6
644 0 7
645 0 14
646 0 15
647 6.6725 14
648 0 11
649 0 13
650 0 9
651 0 15
652 0 18
653 0 10
654 6.51529 14
655 0 17
656 6.28514 9
657 0 7
658 0 14
659 0 15
660 6.30666 17
661 0 15
662 0 15
663 0 5
664 0 10
665 0 13
666 6.87677 12
667 0 12
668 4.95717 12
669 0 13
670 0 18
671 0 10
672 0 6
673 0 6
674 0 17
675 0 9
