635 4.90131 13  1
636 5.78982 12  0
637 0 4  1
638 6.17854 9  1
639 0 16  1
640 0 7  1
641 0 10  1
642 4.56812 12  1
643 5.60236 5  1
644 0 11  1
645 0 5  1
646 0 6  1
647 3.48175 5  0
648 0 13  1
649 0 6  1
650 0 13  1
651 0 8  1
652 0 7  1
653 0 8  1
654 5.19016 13  1
655 0 9  1
656 5.62235 7  1
657 0 11  1
658 0 13  1
659 0 6  1
660 6.08896 5  1
661 0 10  1
662 0 15  1
663 0 10  1
664 0 9  1
665 0 10  1
666 5.42748 17  1
667 0 7  1
668 5.95439 6  1
669 0 13  0
670 0 11  1
671 0 9  1
672 0 8  1
673 0 13  1
674 0 8  1
675 0 15  1
676 0 11  1
677 0 7  1
678 0 11  1
679 0 8  1
680 0 8  0
681 0 11  1
682 4.55703 11  1
683 0 8  1
684 4.42459 17  1
685 4.91624 8  1
686 0 10  1
687 0 8  1
688 0 9  1
689 3.84794 14  1
690 0 14  1
691 4.67376 14  1
692 0 13  0
693 0 14  1
694 0 10  1
695 0 7  1
696 0 14  1
697 0 8  1
698 0 17  1
699 4.70673 10  1
700 0 5  1
701 4.35256 9  1
702 0 14  1
703 0 9  1
704 0 10  1
705 0 8  1
706 4.19534 13  1
707 0 8  1
708 0 6  1
709 5.207 8  1
710 3.70997 10  1
711 0 4  1
712 0 6  1
713 0 8  1
714 0 10  1
715 0 8  1
716 0 14  1
717 0 8  1
718 0 10  1
719 0 15  1
720 4.83756 8  1
721 0 14  1
722 5.01461 13  1
723 5.30569 13  1
724 0 10  1
725 5.36211 9  1
726 0 12  0
727 0 10  1
728 0 9  1
729 0 9  1
730 0 7  1
731 0 8  1
732 4.69285 9  1
733 0 7  1
734 0 11  1
735 4.79474 12  1
736 5.53556 10  1
737 5.05721 11  1
738 0 13  1
739 0 5  1
740 5.73855 10  1
741 2.81851 8  0
742 0 7  1
743 0 10  1
744 0 12  1
745 5.09765 12  1
746 0 13  1
747 0 11  1
748 0 11  1
749 0 13  1
750 5.4797 11  1
751 0 13  1
752 5.42312 9  1
753 0 4  1
754 0 11  1
755 0 10  1
756 5.36756 9  1
757 0 9  1
758 5.33209 10  1
759 0 11  1
760 0 7  1
761 4.18484 11  1
762 0 13  1
763 0 3  1
764 0 6  1
765 5.80406 11  1
766 4.17039 9  1
767 0 7  1
768 0 7  1
769 0 8  1
770 0 9  1
771 0 13  1
772 0 9  1
773 0 10  1
774 0 12  1
775 0 14  1
776 0 11  1
777 3.30035 8  1
778 3.55681 11  1
779 0 5  1
780 0 12  1
781 5.45973 10  1
782 0 9  1
783 0 6  1
784 0 6  1
785 0 14  1
786 0 10  1
787 0 9  1
788 0 13  1
789 0 6  1
790 0 8  1
791 0 8  1
792 0 9  1
793 3.42171 10  1
794 0 5  1
795 5.44437 7  1
